PopID,HHType
1325,2
1325,99
1326,0
1326,1
1326,2
1326,99
1327,0
1327,1
1327,2
1327,99
1328,0
1328,1
1328,2
1328,99
1329,0
1329,1
1329,2
1329,99
1330,0
1330,1
1330,2
1330,99
1331,0
1331,1
1331,2
1331,99
1332,0
1332,1
1332,2
1332,99
1333,0
1333,1
1333,2
1333,99
1334,0
1334,1
1334,2
1334,99
1335,0
1335,1
1335,2
1335,99
1336,0
1336,1
1336,2
1336,99
1337,0
1337,1
1337,2
1337,99
1338,0
1338,1
1338,2
1338,99
1339,0
1339,1
1339,2
1339,99
1340,0
1340,1
1340,2
1340,99
1341,0
1341,1
1341,2
1341,99
1342,0
1342,1
1342,2
1342,99
1343,0
1343,1
1343,2
1343,99
1344,0
1344,1
1344,2
1344,99
1345,1
1347,2
1348,0
1348,1
1348,2
1348,99
1415,1
1418,1
1419,1
1420,1
1421,1
1422,1
1423,1
1424,1
1425,1
1426,1
1427,1
1428,1
1429,1
1430,1
1431,1
1432,1
1433,1
1434,1
1435,1
1436,1
1437,1
1438,1
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,1
1448,1
1519,0
1519,1
1519,2
1519,3
1519,99
1520,0
1520,1
1520,2
1520,3
1520,99
1521,0
1521,1
1521,2
1521,3
1521,99
1522,0
1522,1
1522,2
1522,3
1522,99
1523,0
1523,1
1523,2
1523,3
1523,99
1524,0
1524,1
1524,2
1524,3
1524,99
1525,0
1525,1
1525,2
1525,3
1525,99
1526,0
1526,1
1526,2
1526,3
1526,99
1527,0
1527,1
1527,2
1527,3
1527,99
1528,0
1528,1
1528,2
1528,3
1528,99
1529,0
1529,1
1529,2
1529,3
1529,99
1530,0
1530,1
1530,2
1530,3
1530,99
1531,0
1531,1
1531,2
1531,3
1531,99
1532,0
1532,1
1532,2
1532,3
1532,99
1533,0
1533,1
1533,2
1533,3
1533,99
1534,0
1534,1
1534,2
1534,3
1534,99
1535,0
1535,1
1535,2
1535,3
1535,99
1536,0
1536,1
1536,2
1536,3
1536,99
1537,0
1537,1
1537,2
1537,3
1537,99
1538,0
1538,1
1538,2
1538,3
1538,99
1539,0
1539,1
1539,2
1539,3
1539,99
1540,0
1540,1
1540,2
1540,3
1540,99
1541,0
1541,1
1541,2
1541,3
1541,99
1542,0
1542,1
1542,2
1542,3
1542,99
1543,0
1543,1
1543,2
1543,3
1543,99
1544,0
1544,1
1544,2
1544,3
1544,99
1545,1
1546,3
1547,2
1548,0
1548,1
1548,2
1548,3
1548,99
5053,0
5053,1
5053,2
5053,99
5054,0
5054,1
5054,2
5054,99
5055,0
5055,1
5055,2
5055,99
5056,0
5056,1
5056,2
5056,99
5057,0
5057,1
5057,2
5057,99
5058,0
5058,1
5058,2
5058,99
5059,0
5059,1
5059,2
5059,99
5060,0
5060,1
5060,2
5060,99
5061,0
5061,1
5061,2
5061,99
5062,0
5062,1
5062,2
5062,99
5063,0
5063,1
5063,2
5063,99
5064,0
5064,1
5064,2
5064,99
5065,0
5065,1
5065,2
5065,99
5066,0
5066,1
5066,2
5066,99
5067,0
5067,1
5067,2
5067,99
5068,0
5068,1
5068,2
5068,99
5069,0
5069,1
5069,2
5069,99
5070,0
5070,1
5070,2
5070,99
5071,0
5071,1
5071,2
5071,99
5072,0
5072,1
5072,2
5072,99
5073,0
5073,1
5073,2
5073,99
5074,0
5074,1
5074,2
5074,99
5075,0
5075,1
5075,2
5075,99
5076,0
5076,1
5076,2
5076,99
5077,0
5077,1
5077,2
5077,99
5078,0
5078,1
5078,2
5078,99
5079,0
5079,1
5079,2
5079,99
5080,0
5080,1
5080,2
5080,99
5081,0
5081,1
5081,2
5081,99
5082,0
5082,1
5082,2
5082,99
5083,0
5083,1
5083,2
5083,99
5084,0
5084,1
5084,2
5084,99
5085,0
5085,1
5085,2
5085,99
5097,0
5097,1
5097,2
5097,99
5153,2
5154,2
5155,2
5156,2
5157,2
5158,2
5159,2
5160,2
5161,2
5162,2
5163,2
5164,2
5165,2
5166,2
5167,2
5168,2
5169,2
5170,2
5171,2
5172,2
5173,2
5174,2
5175,2
5176,2
5177,2
5178,2
5179,2
5180,2
5181,2
5182,2
5183,2
5184,2
5185,2
5197,2
5253,3
5254,3
5255,3
5256,3
5257,3
5258,3
5259,3
5260,3
5261,3
5262,3
5263,3
5264,3
5265,3
5266,3
5267,3
5268,3
5269,3
5270,3
5271,3
5272,3
5273,3
5274,3
5275,3
5276,3
5277,3
5278,3
5279,3
5280,3
5281,3
5282,3
5283,3
5284,3
5285,3
insertintoref_PopHHTypes()values(5297,3
