RowMin,RowMax,ByPath,ByProject,PopID,Pop1,Pop2
23,23,NULL,NULL,37,0,37
23,23,NULL,NULL,38,0,38
23,23,NULL,NULL,39,0,39
23,23,NULL,NULL,40,0,40
23,23,NULL,NULL,41,0,41
23,23,NULL,NULL,42,0,42
23,23,NULL,NULL,43,0,43
23,23,NULL,NULL,44,0,44
23,23,NULL,NULL,45,0,45
23,23,NULL,NULL,46,0,46
23,23,NULL,NULL,47,0,47
23,23,NULL,NULL,48,0,48
23,23,NULL,NULL,1015,10,15
23,23,NULL,NULL,1018,10,18
23,23,NULL,NULL,1019,10,19
23,23,NULL,NULL,1020,10,20
23,23,NULL,NULL,1023,10,23
23,23,NULL,NULL,1024,10,24
23,23,NULL,NULL,1025,10,25
23,23,NULL,NULL,1026,10,26
23,23,NULL,NULL,1027,10,27
23,23,NULL,NULL,1028,10,28
23,23,NULL,NULL,1029,10,29
23,23,NULL,NULL,1030,10,30
23,23,NULL,NULL,1031,10,31
23,23,NULL,NULL,1032,10,32
23,23,NULL,NULL,1033,10,33
23,23,NULL,NULL,1034,10,34
23,23,NULL,NULL,1035,10,35
23,23,NULL,NULL,1036,10,36
23,23,NULL,NULL,1037,10,37
23,23,NULL,NULL,1038,10,38
23,23,NULL,NULL,1039,10,39
23,23,NULL,NULL,1040,10,40
23,23,NULL,NULL,1041,10,41
23,23,NULL,NULL,1042,10,42
23,23,NULL,NULL,1043,10,43
23,23,NULL,NULL,1044,10,44
23,23,NULL,NULL,1048,10,48
23,23,NULL,NULL,1115,11,15
23,23,NULL,NULL,1118,11,18
23,23,NULL,NULL,1119,11,19
23,23,NULL,NULL,1120,11,20
23,23,NULL,NULL,1123,11,23
23,23,NULL,NULL,1124,11,24
23,23,NULL,NULL,1125,11,25
23,23,NULL,NULL,1126,11,26
23,23,NULL,NULL,1127,11,27
23,23,NULL,NULL,1128,11,28
23,23,NULL,NULL,1129,11,29
23,23,NULL,NULL,1130,11,30
23,23,NULL,NULL,1131,11,31
23,23,NULL,NULL,1132,11,32
23,23,NULL,NULL,1133,11,33
23,23,NULL,NULL,1134,11,34
23,23,NULL,NULL,1135,11,35
23,23,NULL,NULL,1136,11,36
23,23,NULL,NULL,1137,11,37
23,23,NULL,NULL,1138,11,38
23,23,NULL,NULL,1139,11,39
23,23,NULL,NULL,1140,11,40
23,23,NULL,NULL,1141,11,41
23,23,NULL,NULL,1142,11,42
23,23,NULL,NULL,1143,11,43
23,23,NULL,NULL,1144,11,44
23,23,NULL,NULL,1148,11,48
23,23,NULL,NULL,1215,12,15
23,23,NULL,NULL,1218,12,18
23,23,NULL,NULL,1219,12,19
23,23,NULL,NULL,1220,12,20
23,23,NULL,NULL,1223,12,23
23,23,NULL,NULL,1224,12,24
23,23,NULL,NULL,1225,12,25
23,23,NULL,NULL,1226,12,26
23,23,NULL,NULL,1227,12,27
23,23,NULL,NULL,1228,12,28
23,23,NULL,NULL,1229,12,29
23,23,NULL,NULL,1230,12,30
23,23,NULL,NULL,1231,12,31
23,23,NULL,NULL,1232,12,32
23,23,NULL,NULL,1233,12,33
23,23,NULL,NULL,1234,12,34
23,23,NULL,NULL,1235,12,35
23,23,NULL,NULL,1236,12,36
23,23,NULL,NULL,1237,12,37
23,23,NULL,NULL,1238,12,38
23,23,NULL,NULL,1239,12,39
23,23,NULL,NULL,1240,12,40
23,23,NULL,NULL,1241,12,41
23,23,NULL,NULL,1242,12,42
23,23,NULL,NULL,1243,12,43
23,23,NULL,NULL,1244,12,44
23,23,NULL,NULL,1248,12,48
23,23,NULL,NULL,1315,13,15
23,23,NULL,NULL,1318,13,18
23,23,NULL,NULL,1319,13,19
23,23,NULL,NULL,1320,13,20
23,23,NULL,NULL,1323,13,23
23,23,NULL,NULL,1324,13,24
23,23,NULL,NULL,1325,13,25
23,23,NULL,NULL,1326,13,26
23,23,NULL,NULL,1327,13,27
23,23,NULL,NULL,1328,13,28
23,23,NULL,NULL,1329,13,29
23,23,NULL,NULL,1330,13,30
23,23,NULL,NULL,1331,13,31
23,23,NULL,NULL,1332,13,32
23,23,NULL,NULL,1333,13,33
23,23,NULL,NULL,1334,13,34
23,23,NULL,NULL,1335,13,35
23,23,NULL,NULL,1336,13,36
23,23,NULL,NULL,1337,13,37
23,23,NULL,NULL,1338,13,38
23,23,NULL,NULL,1339,13,39
23,23,NULL,NULL,1340,13,40
23,23,NULL,NULL,1341,13,41
23,23,NULL,NULL,1342,13,42
23,23,NULL,NULL,1343,13,43
23,23,NULL,NULL,1344,13,44
23,23,NULL,NULL,1345,13,45
23,23,NULL,NULL,1347,13,47
23,23,NULL,NULL,1348,13,48
23,23,NULL,NULL,1415,14,15
23,23,NULL,NULL,1418,14,18
23,23,NULL,NULL,1419,14,19
23,23,NULL,NULL,1420,14,20
23,23,NULL,NULL,1423,14,23
23,23,NULL,NULL,1424,14,24
23,23,NULL,NULL,1425,14,25
23,23,NULL,NULL,1426,14,26
23,23,NULL,NULL,1427,14,27
23,23,NULL,NULL,1428,14,28
23,23,NULL,NULL,1429,14,29
23,23,NULL,NULL,1430,14,30
23,23,NULL,NULL,1431,14,31
23,23,NULL,NULL,1432,14,32
23,23,NULL,NULL,1433,14,33
23,23,NULL,NULL,1434,14,34
23,23,NULL,NULL,1435,14,35
23,23,NULL,NULL,1436,14,36
23,23,NULL,NULL,1437,14,37
23,23,NULL,NULL,1438,14,38
23,23,NULL,NULL,1439,14,39
23,23,NULL,NULL,1440,14,40
23,23,NULL,NULL,1441,14,41
23,23,NULL,NULL,1442,14,42
23,23,NULL,NULL,1443,14,43
23,23,NULL,NULL,1444,14,44
23,23,NULL,NULL,1445,14,45
23,23,NULL,NULL,1448,14,48
23,23,NULL,NULL,1519,15,19
23,23,NULL,NULL,1520,15,20
23,23,NULL,NULL,1523,15,23
23,23,NULL,NULL,1524,15,24
23,23,NULL,NULL,1525,15,25
23,23,NULL,NULL,1526,15,26
23,23,NULL,NULL,1527,15,27
23,23,NULL,NULL,1528,15,28
23,23,NULL,NULL,1529,15,29
23,23,NULL,NULL,1530,15,30
23,23,NULL,NULL,1531,15,31
23,23,NULL,NULL,1532,15,32
23,23,NULL,NULL,1533,15,33
23,23,NULL,NULL,1534,15,34
23,23,NULL,NULL,1535,15,35
23,23,NULL,NULL,1536,15,36
23,23,NULL,NULL,1537,15,37
23,23,NULL,NULL,1538,15,38
23,23,NULL,NULL,1539,15,39
23,23,NULL,NULL,1540,15,40
23,23,NULL,NULL,1541,15,41
23,23,NULL,NULL,1542,15,42
23,23,NULL,NULL,1543,15,43
23,23,NULL,NULL,1544,15,44
23,23,NULL,NULL,1545,15,45
23,23,NULL,NULL,1546,15,46
23,23,NULL,NULL,1547,15,47
23,23,NULL,NULL,1548,15,48
53,54,NULL,NULL,0,0,0
53,54,NULL,NULL,10,0,10
