RowID,Cohort,Universe,SystemPath
114,-2,3,-1
114,-1,3,-1
114,0,3,-1
115,-2,3,-1
115,-1,3,-1
115,0,3,-1
116,-2,3,-1
116,-1,3,-1
116,0,3,-1
117,-2,2,-1
117,-1,2,-1
117,0,2,-1
118,-2,2,-1
118,-1,2,-1
118,0,2,-1
119,-2,2,-1
119,-1,2,-1
119,0,2,-1
120,-2,2,-1
120,-1,2,-1
120,0,2,-1
121,-2,2,-1
121,-1,2,-1
121,0,2,-1
122,-2,2,-1
122,-1,2,-1
122,0,2,-1
123,-2,2,-1
123,-1,2,-1
123,0,2,-1
124,-2,2,-1
124,-1,2,-1
124,0,2,-1
125,-2,2,-1
125,-1,2,-1
125,0,2,-1
126,-2,2,-1
126,-1,2,-1
126,0,2,-1
127,-2,2,-1
127,-1,2,-1
127,0,2,-1
128,-2,2,-1
128,-1,2,-1
128,0,2,-1
129,-2,2,-1
129,-1,2,-1
129,0,2,-1
130,-2,2,-1
130,-1,2,-1
130,0,2,-1
131,-2,2,-1
131,-1,2,-1
131,0,2,-1
132,-2,2,-1
132,-1,2,-1
132,0,2,-1
133,-2,2,-1
133,-1,2,-1
133,0,2,-1
134,-2,4,-1
134,-1,4,-1
134,0,4,-1
135,-2,4,-1
135,-1,4,-1
135,0,4,-1
136,-2,4,-1
136,-1,4,-1
136,0,4,-1
901,1,10,-1
902,1,10,-1
903,1,10,-1
904,1,10,-1
905,1,10,-1
906,1,10,-1
907,1,10,-1
908,1,10,-1
909,1,10,-1
910,1,10,-1
911,1,10,-1
912,1,10,-1
913,1,10,-1
914,1,10,-1
915,1,10,-1
916,1,10,-1
917,1,10,-1
918,1,10,-1
919,1,10,-1
920,1,10,-1
